,name,rating,reviews,benefits
0,TCS,3.8,74.9k,11.6k
1,Accenture,4.0,46.7k,7.2k
2,Cognizant,3.9,41.9k,5.9k
3,Wipro,3.8,40.3k,5.1k
4,Capgemini,3.8,34.5k,4.1k
5,HDFC Bank,4.0,33.7k,3.3k
6,ICICI Bank,4.0,33.4k,3.8k
7,Infosys,3.8,32.5k,5.2k
8,HCLTech,3.7,29.3k,4.1k
9,Tech Mahindra,3.7,27.8k,3.6k
10,Genpact,3.9,26.3k,3.7k
11,Axis Bank,3.9,22k,2.2k
12,Teleperformance,3.8,22.9k,2.1k
13,Concentrix Corporation,3.9,21.7k,3.3k
14,Jio,4.0,20.3k,2.6k
15,Amazon,4.1,21.1k,4.3k
16,IBM,4.1,19.3k,2.8k
17,Reliance Retail,4.0,19.2k,2k
18,HDB Financial Services,4.0,17.7k,1.5k
19,Larsen & Toubro Limited,4.1,16k,2.9k
20,Vodafone Idea,4.2,14.1k,2.1k
21,BYJU'S,3.1,15.2k,1.9k
22,Kotak Mahindra Bank,3.9,14.2k,1.3k
23,Deloitte,3.9,14.2k,2.6k
24,Reliance Industries,4.1,13.5k,2k
25,iEnergizer,4.7,15.5k,536
26,Bharti Airtel,4.1,11.8k,1.6k
27,Tata Motors,4.2,10.2k,1.8k
28,WNS,3.5,9.6k,1.4k
29,Flipkart,4.0,9.4k,1.5k
30,IndusInd Bank,3.7,9.1k,816
31,Ernst & Young,3.6,9.1k,1.3k
32,AU Small Finance Bank,4.4,8.8k,490
33,Mahindra & Mahindra,4.2,8.4k,1.3k
34,Infosys BPM,3.8,8.3k,1.2k
35,DXC Technology,3.8,8.3k,1.2k
36,IDFC FIRST Bank,4.0,8.5k,733
37,Conneqt Business Solutions,3.7,7.9k,810
38,LTIMindtree,3.6,8.1k,859
39,HDFC Life,4.1,7.7k,647
40,Bajaj Finserv,4.1,7.6k,756
41,Mphasis,3.5,7k,898
42,PwC,3.6,7.2k,876
43,HSBC Group,4.1,6.7k,1.2k
44,Startek,3.3,6.6k,724
45,Hinduja Global Solutions,4.0,6.4k,1k
46,Samsung,4.1,6.3k,572
47,Ericsson,4.3,6.3k,1.1k
48,Maruti Suzuki,4.2,6.5k,1.1k
49,Shriram Finance,4.1,6.3k,50
50,Asian Paints,4.1,6.3k,913
51,Yes Bank,3.9,6.3k,633
52,Cipla,4.1,6k,907
53,Dr. Reddy's,4.2,5.9k,884
54,Sutherland Global Services,3.7,5.8k,958
55,Paytm,3.5,6.1k,591
56,Bandhan Bank,3.8,6.1k,536
57,UltraTech Cement,4.2,5.8k,654
58,EXL Service,3.8,6k,863
59,NTT DATA,4.0,5.8k,779
60,ICICI Prudential Life Insurance,4.1,5.5k,636
61,Bajaj Finance,4.1,5.7k,528
62,Jana Small Finance Bank,3.9,5.4k,632
63,Lupin,4.1,5.4k,822
64,Indian Army,4.7,4.8k,763
65,HCL Group,3.8,5.1k,704
66,Quess,4.0,5.6k,464
67,Tata Steel,4.2,6k,705
68,L&T Infotech,3.8,5.2k,902
69,Wells Fargo,4.0,5.3k,906
70,Zydus Lifesciences,4.2,5.3k,700
71,Delhivery,4.0,5.2k,675
72,Amazon Development Centre India,4.2,5.4k,56
73,L&T Construction,4.1,5.1k,829
74,JPMorgan Chase & Co.,4.1,5.1k,915
75,Sun Pharmaceutical Industries,4.1,4.8k,646
76,Hindustan Unilever,4.3,4.8k,698
77,FIS,3.9,4.9k,789
78,ITC,4.0,4.8k,735
79,Udaan,4.0,4.8k,789
80,Hexaware Technologies,3.7,4.8k,591
81,IIFL Finance,4.0,4.7k,443
82,JSW Steel,4.0,4.8k,633
83,Ujjivan Small Finance Bank,4.1,4.6k,598
84,Muthoot Finance,3.6,4.3k,340
85,Max Life Insurance,4.2,4.5k,518
86,Tata Projects,4.3,4.3k,568
87,Aurobindo Pharma,4.0,4.2k,502
88,KPMG India,3.6,4.5k,791
89,Shapoorji Pallonji Group,4.2,4.1k,663
90,Oracle,3.8,4.4k,655
91,Home Credit Finance,4.1,4.1k,645
92,eClerx,3.5,4.3k,600
93,Apollo Hospitals,4.2,4k,529
94,Ashok Leyland,4.1,4k,691
95,Omega Healthcare,3.8,4.2k,418
96,Siemens,4.2,4k,670
97,JLL,4.2,4.1k,576
98,Megha Engineering & Infrastructures,4.0,4.1k,565
99,Vivo,4.1,3.9k,676
100,First Source,3.8,4k,608
101,JustDial,3.6,3.9k,385
102,Bajaj Allianz Life Insurance,4.1,4.1k,493
103,Hero MotoCorp,4.2,3.9k,616
104,OPPO,4.0,3.8k,658
105,Mahindra Finance,4.3,3.9k,516
106,DMart,4.0,3.9k,485
107,Standard Chartered,3.9,3.9k,338
108,Coforge,3.5,3.9k,332
109,Cyient,3.8,3.8k,498
110,BigBasket,4.0,3.9k,443
111,ICICI Lombard General Insurance Company,3.8,3.8k,383
112,Indiamart Intermesh,3.6,3.9k,452
113,CGI Group,4.1,3.8k,433
114,Virtusa Consulting Services,3.8,3.9k,347
115,Equitas Small Finance Bank,4.4,3.7k,403
116,TVS Motor,4.1,3.6k,552
117,Manappuram Finance,4.0,3.6k,270
118,Ekart Logistics,4.1,4.2k,369
119,GlobalLogic,3.7,3.7k,560
120,UST,3.8,3.6k,459
121,SBI Cards & Payment Services,3.8,3.5k,354
122,Hewlett Packard Enterprise,4.3,3.4k,640
123,Atos Syntel,3.6,3.5k,564
124,Bosch Global Software Technologies,4.1,3.6k,727
125,IQVIA,4.0,3.6k,555
126,Nagarro,4.1,3.7k,1.2k
127,Cholamandalam Investment & Finance,4.1,3.6k,316
128,SMFG India Credit,4.1,3.5k,353
129,Bosch,4.3,3.3k,645
130,Reliance Communications,4.0,3.2k,382
131,BNY Mellon,4.0,3.4k,557
132,L&T Technology Services,3.4,3.6k,463
133,Schneider Electric,4.2,3.4k,497
134,Hyundai Motor India Limited,4.4,3.3k,583
135,Amdocs,4.0,3.4k,696
136,Oyo Rooms,3.4,3.3k,397
137,Swiggy,3.9,3.4k,372
138,CBRE,4.2,3.3k,485
139,State Bank of India,3.9,3.3k,410
140,JBM Group,4.0,3.2k,394
141,BT Group,4.1,3.3k,318
142,SBI Life Insurance Company,3.9,3.2k,340
143,Optum,4.0,3.4k,569
144,Ecom Express,4.0,3.2k,336
145,Nagarjuna Construction Company,4.2,3.1k,426
146,Dell,4.2,3.3k,574
147,Bajaj Auto,3.9,3.2k,566
148,KEC International,4.1,3.2k,453
149,Future Group,4.3,2.9k,430
150,Piramal Capital Housing Finance,4.2,3.1k,271
151,Aditya Birla Fashion and Retail,4.2,3.1k,433
152,Muthoot Fincorp,4.1,3.1k,282
153,Royal Enfield,4.3,2.9k,420
154,L&T Finance,4.0,3k,272
155,Viatris,4.2,2.8k,529
156,Tata Communications,4.1,2.9k,444
157,Samvardhana Motherson Group,3.8,2.8k,418
158,Intas Pharmaceuticals,4.2,2.9k,411
159,LG Electronics,4.1,2.9k,423
160,John Deere,4.3,2.9k,437
161,Varun Beverages,4.1,2.9k,332
162,Kogta Financial India Limited,4.8,3k,51
163,Persistent Systems,3.8,3.1k,412
164,Godrej & Boyce Manufacturing,4.0,2.8k,432
165,Randstad,3.9,2.9k,344
166,Thermax Limited,4.2,2.8k,392
167,Hetero Drugs,3.9,2.7k,343
168,Deutsche Bank,4.0,2.8k,425
169,Macleods Pharmaceuticals,3.8,2.8k,375
170,Havells,4.1,2.7k,335
171,CARS24,3.7,2.9k,431
172,Team Lease,4.0,2.8k,227
173,Subros,4.0,2.7k,424
174,Sodexo,4.1,2.6k,389
175,Abbott,4.2,2.7k,390
176,VE Commercial Vehicles,4.1,2.7k,377
177,Indian Oil Corporation,4.5,2.7k,312
178,Whitehat jr,3.5,2.8k,973
179,Ford Motor,4.5,2.6k,403
180,Tata Capital,4.2,2.7k,110
181,Automatic Data Processing (ADP),4.1,2.7k,480
182,Bharat Electronics,4.2,2.6k,327
183,Cummins,4.4,2.7k,482
184,ITC Infotech,3.8,2.8k,312
185,Access Healthcare,4.0,2.7k,290
186,R1 RCM,3.9,2.8k,379
187,American Express,4.2,2.7k,457
188,Alembic Pharmaceuticals,4.1,2.6k,400
189,Pidilite Industries,4.4,2.6k,373
190,Tata AIA Life Insurance,4.1,2.7k,312
191,UnitedHealth,4.1,2.4k,443
192,Hindalco Industries,4.3,2.6k,352
193,Alkem Laboratories,4.0,2.5k,349
194,Aakash Educational Services,3.6,2.6k,221
195,Publicis Sapient,3.6,2.6k,421
196,Atos,3.8,2.6k,372
197,Utkarsh Small Finance Bank,3.9,2.6k,273
198,DCB Bank,3.9,2.6k,255
199,Hindustan Coca Cola Beverages,4.3,2.5k,395
